	name	full_name	X	y	mean_VEC	VEC_dif	mean_electronegativity	electronegativity_dif	atom_radius_dif	a2	melting_point_dif	Smix	aomiga	Hmix	Hmix_dif	Hmix_z	Hmix_p	Hmix_n	phase	label
505	CrMoNbTaTiVZr	Ti14.285714285714286V14.285714285714286Cr14.285714285714286Zr14.285714285714286Nb14.285714285714286Mo14.285714285714286Ta14.285714285714286	2.88953	0.76382	5	0.15119	1.63143	0.1461	0.07483	0.01719	0.18624	0.01618	9.10695	-4.40816	8.26E+22	8.94E+22	2.28E+22	8.65E+22	BCC	0
506	AuNi2Sn4	Ni2.0Sn4.0Au94.0	2.26874	0.75517	10.7	0.12848	2.5042	0.05663	0.03114	0.00356	0.13226	0.0022	2.9149	-0.9904	1.14E+23	1.20E+23	5.30E+22	1.07E+23	IM	3
507	CoFeSiB	B25.0Si25.0Fe25.0Co25.0	0.46854	0.64597	6	0.42492	1.9125	0.04073	0.15687	0.03315	0.13684	0.01153	0.63616	-34.5	3.97E+23	6.10E+23	0	6.10E+23	AM	4
508	MoNb0.5HfZrTi	Ti24.875Zr24.875Nb0.5Mo24.875Hf24.875	2.87184	0.84061	4.5025	0.19202	1.58259	0.21809	0.06391	0.01157	0.15476	0.01173	8.0681	-3.44519	5.14E+22	6.34E+22	6.47E+21	6.30E+22	BCC	0
509	Al0.5CoCrCuFeNiTi2	Al0.5Ti2.0Cr19.5Fe19.5Co19.5Ni19.5Cu19.5	18.95953	0.83328	8.675	0.21564	1.82895	0.05535	0.02729	0.00448	0.15034	0.01412	19.40414	1.2867	2.13E+23	2.14E+23	1.53E+23	1.49E+23	FCC+BCC+IM	12
511	MoNbTiV0.75Zr	Ti24.8125V0.75Zr24.8125Nb24.8125Mo24.8125	3.24369	0.80905	4.75188	0.17389	1.65729	0.18452	0.06034	0.01205	0.16569	0.01181	11.39746	-2.51475	7.25E+22	7.72E+22	3.31E+22	6.97E+22	BCC	0
512	HfMoNbTiZr	Ti20.0Zr20.0Nb20.0Mo20.0Hf20.0	3.59935	0.84004	4.6	0.17391	1.586	0.19518	0.06097	0.01224	0.14804	0.01338	20.43962	-1.6	6.85E+22	7.01E+22	3.56E+22	6.04E+22	BCC	0
513	AlCo0.5Cr0.5Fe0.5MnNiV	Al24.625V24.625Cr0.5Mn24.625Fe0.5Co0.5Ni24.625	4.77544	0.85642	6.27125	0.4109	1.67672	0.08289	0.05042	0.00923	0.28081	0.01214	0.93387	-20.7447	2.84E+23	4.34E+23	3.19E+21	4.34E+23	BCC	0
514	Zr66Al8Cu7Ni19	Al8.0Ni19.0Cu7.0Zr66.0	0.79133	0.76729	5.55	0.50795	1.5025	0.16729	0.10136	0.01293	0.1933	0.00813	0.39389	-39.2688	3.02E+23	7.94E+23	1.76E+22	7.94E+23	AM	4
515	Al0.5CoCrCu0.5FeNi2	Al0.5Cr32.333333333333336Fe32.333333333333336Co32.333333333333336Ni2.0Cu0.5	80.3068	0.85276	7.70667	0.17315	1.79205	0.05325	0.01127	0.0011	0.10509	0.0102	6.93266	-2.80737	6.05E+22	7.38E+22	2.86E+22	6.81E+22	FCC+IM	9
516	Al21Cu2Mn3	Al21.0Mn3.0Cu2.0	0.00201	0.83434	1.06	1.84504	0.4226	1.45459	1.45269	0.03046	1.5041	0.00425	2.35009	-0.486	3.97E+23	4.08E+23	2.64E+22	4.07E+23	IM	3
