	name	full_name	X	y	mean_VEC	VEC_dif	mean_electronegativity	electronegativity_dif	atom_radius_dif	a2	melting_point_dif	Smix	aomiga	Hmix	Hmix_dif	Hmix_z	Hmix_p	Hmix_n	phase	label
0	CoFeMnTiV1.6Zr	Ti19.68V1.6Mn19.68Fe19.68Co19.68Zr19.68	1.42721	0.75651	6.3776	0.32146	1.62606	0.1241	0.09851	0.02083	0.11101	0.01385	1.15555	-22.0416	3.88E+23	4.72E+23	0	4.72E+23	IM	3
1	AlCuMg	Mg33.333333333333336Al33.333333333333336Cu33.333333333333336	1.08339	0.78482	5.33333	0.75519	1.60667	0.14992	0.0918	0.01268	0.18906	0.00913	3.6682	-2.66667	4.11E+22	8.43E+22	0	8.43E+22	IM	3
2	VCrFeTa0.4W0.4	V33.06666666666667Cr33.06666666666667Fe33.06666666666667Ta0.4W0.4	11.9166	0.85504	6.32667	0.19682	1.70845	0.05726	0.02822	0.00442	0.10467	0.00949	4.36842	-4.49575	6.02E+22	8.76E+22	1.27E+21	8.76E+22	IM	3
3	Al1.8CoCrCuFeNi	Al1.8Cr19.64Fe19.64Co19.64Ni19.64Cu19.64	29.71604	0.85312	8.6956	0.21519	1.83193	0.05251	0.02162	0.00374	0.16066	0.01389	11.09899	2.19497	1.85E+23	1.87E+23	1.55E+23	1.05E+23	FCC+BCC	5
5	NiCoFeCrAl1.21	Al1.21Cr24.6975Fe24.6975Co24.6975Ni24.6975	43.45056	0.8528	8.18648	0.19277	1.81746	0.05437	0.01657	0.00165	0.11103	0.01193	5.04316	-4.40092	8.84E+22	1.07E+23	0	1.07E+23	FCC	1
6	CoFeMnNi	Mn25.0Fe25.0Co25.0Ni25.0	9.06706	0.91191	8.5	0.13153	1.7925	0.07972	0.03566	0.00769	0.06573	0.01153	4.91899	-4	8.35E+22	1.03E+23	0	1.03E+23	FCC	1
7	Fe18.2Co18.2Ni18.2Cr18.2Mn18.2Al9	Al9.0Cr18.2Mn18.2Fe18.2Co18.2Ni18.2	6.35996	0.85423	7.55	0.26048	1.75196	0.07953	0.04806	0.0115	0.18669	0.01469	2.89217	-8.75202	1.98E+23	2.26E+23	1.53E+22	2.25E+23	FCC	1
8	MoNbHfZrTi1.5	Ti1.5Zr24.625Nb24.625Mo24.625Hf24.625	2.68923	0.84027	4.73875	0.17472	1.59664	0.21458	0.0668	0.01106	0.11658	0.012	15.59735	-1.97	7.42E+22	7.67E+22	3.96E+22	6.57E+22	BCC	0
9	ZrTiVCuNiBe	Be16.666666666666668Ti16.666666666666668V16.666666666666668Ni16.666666666666668Cu16.666666666666668Zr16.666666666666668	1.12665	0.68435	6	0.55277	1.64667	0.12429	0.115	0.02593	0.16377	0.0149	1.08735	-24.88889	5.05E+23	5.81E+23	4.26E+22	5.79E+23	IM	3
11	Al80Li5Mg5Zn5Cu5	Li5.0Mg5.0Al80.0Cu5.0Zn5.0	4.36952	0.78472	3.7	0.71558	1.58	0.10539	0.03848	0.00684	0.16578	0.00647	5.21061	-1.14	6.64E+22	8.39E+22	1.63E+22	8.23E+22	IM	3
12	Fe61B15Mo7Zr8Co5Y2Cr2	B15.0Cr2.0Fe61.0Co5.0Y2.0Zr8.0Mo7.0	0.36247	0.4295	6.7	0.30769	1.8315	0.1124	0.17141	0.03554	0.15958	0.01065	0.95337	-22.3168	3.38E+23	4.98E+23	3.60E+22	4.97E+23	AM	4
14	Al0.2Co1.5CrFeNi1.5Ti0.3	Al0.2Ti0.3Cr48.25Fe48.25Co1.5Ni1.5	47.97098	0.83269	7.058	0.15621	1.74861	0.05052	0.0122	0.00067	0.09669	0.00714	9.01065	-1.57353	3.62E+22	4.56E+22	0	4.56E+22	IM	3
15	Al0.5CoCrCuFeNiTi1.2	Al0.5Ti1.2Cr19.66Fe19.66Co19.66Ni19.66Cu19.66	26.11619	0.8332	8.7134	0.20996	1.83132	0.05363	0.02312	0.00383	0.15078	0.01396	12.77142	1.93128	1.98E+23	1.99E+23	1.54E+23	1.27E+23	FCC+BCC+IM	12
16	CoFeMnTiV2.3Zr	Ti19.54V2.3Mn19.54Fe19.54Co19.54Zr19.54	1.44766	0.75648	6.3678	0.32132	1.62609	0.12366	0.09827	0.02087	0.11158	0.01398	1.17631	-21.8848	3.86E+23	4.69E+23	0	4.69E+23	IM	3
18	NbTiV0.3Mo1.3	Ti49.2V0.3Nb49.2Mo1.3	33.08513	0.89451	4.521	0.11611	1.57785	0.0464	0.01393	0.00073	0.17268	0.00642	9.08075	1.66296	2.46E+22	3.52E+22	3.03E+22	1.80E+22	BCC	0
19	Al2.8CoCrCuFe	Al2.8Cr24.3Fe24.3Co24.3Cu24.3	18.46127	0.85326	8.346	0.2391	1.81169	0.05476	0.02577	0.00406	0.18187	0.01226	4.49415	4.78904	1.98E+23	2.09E+23	1.87E+23	9.25E+22	BCC	0
20	CoFeMnTiV1.3Zr	Ti19.740000000000002V1.3Mn19.740000000000002Fe19.740000000000002Co19.740000000000002Zr19.740000000000002	1.41712	0.75652	6.3818	0.32151	1.62605	0.12429	0.09861	0.02081	0.11076	0.01378	1.14556	-22.1088	3.88E+23	4.74E+23	0	4.74E+23	IM	3
21	Al0.8CoCrFeNi	Al0.8Cr24.8Fe24.8Co24.8Ni24.8	63.43839	0.85277	8.208	0.1883	1.81832	0.05396	0.01365	0.00127	0.10629	0.01182	5.26875	-4.18227	8.08E+22	9.89E+22	0	9.89E+22	BCC+FCC+IM	12
22	Zr45.38Ti9.62Cu8.75Ni10Be26.25	Be26.25Ti9.62Ni10.0Cu8.75Zr45.38	0.53316	0.68915	4.6875	0.62068	1.52108	0.13934	0.14661	0.01952	0.15319	0.01146	0.55903	-37.99677	5.07E+23	7.68E+23	1.46E+22	7.68E+23	AM	4
23	Cr50Co29Nb7B14	B14.0Cr50.0Co29.0Nb7.0	0.54256	0.56395	6.38	0.30537	1.7728	0.08325	0.13371	0.02811	0.12702	0.0097	1.02886	-20.0244	2.73E+23	3.98E+23	0	3.98E+23	AM	4
24	NbTiV0.3Mo0.3	Ti49.7V0.3Nb49.7Mo0.3	37.16439	0.89454	4.506	0.11228	1.57195	0.02806	0.01278	0.00033	0.17238	0.00607	7.50274	1.89854	1.32E+22	3.20E+22	3.07E+22	9.00E+21	BCC	0
25	Ti50Zr15Cu9Ni8Be18	Be18.0Ti50.0Ni8.0Cu9.0Zr15.0	0.88857	0.68828	4.75	0.57453	1.5759	0.10638	0.11277	0.02166	0.12633	0.0113	0.7845	-26.3732	4.13E+23	5.87E+23	1.34E+22	5.86E+23	AM	4
26	Al1.5CoCrCu0.5FeNi	Al1.5Cr24.5Fe24.5Co24.5Ni24.5Cu0.5	35.99584	0.85283	8.185	0.19665	1.81725	0.05461	0.01841	0.00201	0.11578	0.0122	5.21277	-4.3417	9.85E+22	1.15E+23	2.61E+22	1.12E+23	IM	3
27	Cu16Mg6Si7	Mg6.0Si7.0Cu16.0	0.00302	0.59523	2.16	1.65258	0.5156	1.34186	1.33648	0.06212	1.36457	0.00539	1.50083	-1.4032	4.55E+23	4.89E+23	0	4.89E+23	IM	3
28	Al2CuMg	Mg49.0Al2.0Cu49.0	0.52355	0.78495	6.43	0.69699	1.6051	0.18194	0.11108	0.00112	0.19112	0.00646	2.44773	-2.9988	1.41E+22	9.48E+22	0	9.48E+22	IM	3
29	Al65Cu5Mg5Ni5Si15Zn5	Mg5.0Al65.0Si15.0Ni5.0Cu5.0Zn5.0	1.37943	0.70369	4.3	0.66635	1.67	0.08942	0.08377	0.01499	0.29256	0.00968	0.76965	-13.77	3.66E+23	5.68E+23	1.81E+22	5.68E+23	IM	3
30	CoCuFeNiSn0.1	Fe24.975Co24.975Ni24.975Cu24.975Sn0.1	52.79569	0.73902	9.4945	0.11911	1.88008	0.01644	0.01481	0.00256	0.11055	0.01158	3.85316	5.00399	1.44E+23	1.64E+23	1.62E+23	2.44E+22	FCC+IM	9
31	CoFeReRu	Fe25.0Co25.0Ru25.0Re25.0	5.97457	0.89449	8	0.08839	1.9525	0.07434	0.04393	0.00711	0.28646	0.01153	18.53255	-1.5	3.94E+22	4.25E+22	1.50E+22	3.97E+22	HCP	2
32	Al16CuLiMgZn	Li21.0Mg21.0Al16.0Cu21.0Zn21.0	2.20053	0.78529	5.94	0.80485	1.484	0.2177	0.07786	0.01558	0.35304	0.01334	2.91196	-3.9816	1.57E+23	1.89E+23	2.32E+22	1.88E+23	FCC+IM	9
33	AlFeNiTiVZr	Al16.666666666666668Ti16.666666666666668V16.666666666666668Fe16.666666666666668Ni16.666666666666668Zr16.666666666666668	1.69782	0.75669	5.66667	0.44019	1.64167	0.1156	0.09368	0.02046	0.23175	0.0149	0.84997	-31.33333	5.09E+23	6.28E+23	0	6.28E+23	BCC	0
34	HfMoNbTaTi	Ti20.0Nb20.0Mo20.0Hf20.0Ta20.0	5.66479	0.85348	4.8	0.1559	1.62	0.17788	0.0486	0.01038	0.16708	0.01338	24.87007	-1.44	5.87E+22	6.00E+22	2.96E+22	5.22E+22	BCC	0
35	CoCrFeMnNiC1	C1.0Cr19.8Mn19.8Fe19.8Co19.8Ni19.8	5.29178	0.57755	7.96	0.18371	1.77384	0.0892	0.0509	0.00931	0.19779	0.01371	4.10053	-6.12058	2.17E+23	2.30E+23	1.57E+22	2.30E+23	FCC	1
36	FeCoCrAlCuV0.5Ni	Al16.583333333333332V0.5Cr16.583333333333332Fe16.583333333333332Co16.583333333333332Ni16.583333333333332Cu16.583333333333332	5.41126	0.85426	7.81917	0.34181	1.79749	0.06641	0.05279	0.0129	0.24088	0.01508	5.02134	-4.90259	2.81E+23	2.88E+23	1.41E+23	2.51E+23	FCC	1
37	Al0.5CrFe1.5MnNi0.5	Al0.5Cr48.75Mn48.75Fe1.5Ni0.5	4.33868	0.85494	6.5225	0.0969	1.60992	0.04001	0.03956	0.00078	0.18051	0.00679	8.71248	1.4369	5.40E+22	6.06E+22	3.83E+22	4.69E+22	BCC	0
38	Co64.8Fe7.2B19.2Si4.8Nb4	B19.2Si4.8Fe7.2Co64.8Nb4.0	0.39208	0.56022	7.376	0.33721	1.89688	0.04705	0.15007	0.02601	0.14854	0.00883	0.7009	-24.16128	2.43E+23	5.03E+23	0	5.03E+23	AM	4
40	Al17Co14.3Cr14.3Fe28.6Ni25.8	Al17.0Cr14.3Fe28.6Co14.3Ni25.8	4.30083	0.85402	7.523	0.31928	1.79608	0.06401	0.055	0.01294	0.21946	0.01301	1.9779	-11.09662	2.25E+23	2.74E+23	0	2.74E+23	FCC+IM	9
41	Fe29Ni19Mn38Al14	Al14.0Mn38.0Fe29.0Ni19.0	3.84144	0.8554	7.3	0.27906	1.708	0.0886	0.05339	0.00941	0.18028	0.01095	1.56547	-10.9216	2.31E+23	3.00E+23	0	3.00E+23	IM	3
42	AlCoFeNiTiVZr	Al14.285714285714286Ti14.285714285714286V14.285714285714286Fe14.285714285714286Co14.285714285714286Ni14.285714285714286Zr14.285714285714286	1.82183	0.75552	6.14286	0.42118	1.67571	0.11606	0.09424	0.02136	0.21492	0.01618	0.91876	-31.42857	5.25E+23	6.26E+23	0	6.26E+23	BCC	0
43	Al0.5CrMoNbTi	Al0.5Ti24.875Cr24.875Nb24.875Mo24.875	3.3606	0.84503	5.23875	0.16076	1.73935	0.14127	0.05908	0.01156	0.16723	0.01173	4.9584	-5.75856	7.93E+22	9.96E+22	1.48E+22	9.85E+22	BCC+IM	8
44	AlCrMoTaTiZr	Al16.666666666666668Ti16.666666666666668Cr16.666666666666668Zr16.666666666666668Mo16.666666666666668Ta16.666666666666668	2.66592	0.76476	4.66667	0.2369	1.63333	0.15751	0.07476	0.01617	0.3351	0.0149	2.06058	-16.11111	2.90E+23	3.27E+23	1.71E+22	3.27E+23	AM	4
46	AlCoCrFeMo0.05Ni2	Al24.4875Cr24.4875Fe24.4875Co24.4875Ni2.0Mo0.05	3.18173	0.85465	6.56975	0.35314	1.74851	0.06541	0.06177	0.01361	0.27006	0.01214	1.74573	-11.64678	2.04E+23	2.69E+23	0	2.69E+23	IM	3
47	Ni55Nb20Hf10Ti15	Ti15.0Ni55.0Nb20.0Hf10.0	1.23384	0.77214	7.5	0.37118	1.7315	0.12265	0.08862	0.01021	0.20633	0.00969	0.59194	-33.43	3.33E+23	6.12E+23	2.35E+22	6.11E+23	AM	4
48	CoFeNb0.75Ni2V0.5	V0.5Fe48.375Co48.375Ni2.0Nb0.75	35.97032	0.85477	8.48625	0.07815	1.85306	0.02021	0.01397	0.00104	0.05024	0.00702	6.86887	-1.83699	7.47E+22	8.29E+22	0	8.29E+22	FCC+IM	9
51	CoCrCuFeNiTi0.5	Ti0.5Cr19.9Fe19.9Co19.9Ni19.9Cu19.9	54.81385	0.83308	8.776	0.19932	1.83452	0.05142	0.01574	0.00286	0.14745	0.01358	8.62676	2.786	1.78E+23	1.82E+23	1.56E+23	9.36E+22	FCC	1
52	CoCuFeNiSn0.02	Fe24.995Co24.995Ni24.995Cu24.995Sn0.02	76.27735	0.739	9.4989	0.11797	1.88002	0.0164	0.0123	0.00245	0.10876	0.01154	3.84444	5.0008	1.44E+23	1.63E+23	1.62E+23	2.43E+22	FCC	1
53	AlBeTi	Be33.333333333333336Al33.333333333333336Ti33.333333333333336	0.72087	0.75996	3	0.27217	1.57333	0.01823	0.11254	0.01763	0.28103	0.00913	0.50608	-26.66667	4.42E+23	6.93E+23	0	6.93E+23	IM	3
54	Al0.7CrCuFeNi	Al0.7Cr24.825Fe24.825Ni24.825Cu24.825	42.63137	0.85305	8.70975	0.22649	1.82349	0.05559	0.01663	0.00292	0.16977	0.01179	4.74884	4.37789	1.95E+23	2.05E+23	1.85E+23	8.77E+22	FCC	1
55	Ti2CoCrFeNiCu	Ti2.0Cr19.6Fe19.6Co19.6Ni19.6Cu19.6	21.43934	0.83324	8.704	0.21036	1.83008	0.05478	0.02549	0.00413	0.14659	0.01393	15.74588	1.568	2.08E+23	2.09E+23	1.53E+23	1.43E+23	IM	3
56	CoCuFeNiSn0.5	Fe24.875Co24.875Ni24.875Cu24.875Sn0.5	21.07862	0.73912	9.4725	0.12465	1.8804	0.01662	0.02359	0.00311	0.1191	0.01173	3.87994	5.01978	1.45E+23	1.64E+23	1.63E+23	2.50E+22	FCC+IM	9
58	Fe61B15Mo7Zr8Co7Y2	B15.0Fe61.0Co7.0Y2.0Zr8.0Mo7.0	0.35056	0.42951	6.76	0.30826	1.8359	0.11139	0.17141	0.03553	0.1605	0.0103	0.91144	-22.4832	3.38E+23	5.02E+23	3.52E+22	5.01E+23	AM	4
60	Al0.4CoCrFeMnNi	Al0.4Cr19.919999999999998Mn19.919999999999998Fe19.919999999999998Co19.919999999999998Ni19.919999999999998	11.90107	0.85362	7.98	0.18123	1.76538	0.07842	0.03373	0.00807	0.12282	0.01354	5.55109	-4.38495	9.65E+22	1.11E+23	1.61E+22	1.10E+23	FCC	1
62	Al6CuMg4	Mg4.0Al6.0Cu90.0	1.07965	0.77704	10.16	0.2485	1.859	0.07073	0.05495	0.00654	0.09778	0.00326	6.42494	-0.6672	2.50E+22	3.43E+22	0	3.43E+22	IM	3
63	Al0.5CoCrFe2NiTi0.5	Al0.5Ti0.5Cr32.333333333333336Fe2.0Co32.333333333333336Ni32.333333333333336	40.09395	0.83292	8.27833	0.21053	1.81452	0.06197	0.01595	0.00132	0.11272	0.0102	3.4973	-5.50009	1.02E+23	1.32E+23	0	1.32E+23	BCC+FCC+IM	12
64	Gd56Al24Co20	Al24.0Co20.0Gd56.0	0.39269	0.68245	4.2	0.57143	1.4344	0.19456	0.14468	0.01434	0.20953	0.00822	0.3494	-34.4704	2.78E+23	8.21E+23	0	8.21E+23	AM	4
65	Al1.13CuFe0.75NiTi1.13	Al1.13Ti1.13Fe0.75Ni48.495Cu48.495	11.02641	0.83367	10.32305	0.11343	1.89698	0.02631	0.02516	0.00239	0.12927	0.00698	4.43184	2.42942	1.69E+23	1.78E+23	9.82E+22	1.48E+23	FCC	1
66	Cu55Zr40Al5	Al5.0Cu55.0Zr40.0	0.57564	0.78254	7.8	0.45436	1.6575	0.16562	0.11051	0.00647	0.24623	0.00703	0.48437	-23.87	2.10E+23	5.49E+23	0	5.49E+23	AM	4
68	Zr38.5Ti16.5Ni9.75Cu15.15Be20	Be20.0Ti16.5Ni9.75Cu15.15Zr38.5	0.68059	0.68904	5.2415	0.60874	1.55423	0.14372	0.13536	0.02246	0.16025	0.01247	0.68667	-33.1553	5.29E+23	7.04E+23	1.93E+22	7.04E+23	AM	4
69	Al0.5CoCrCu0.5FeNiTi0.5	Al0.5Ti0.5Cr24.625Fe24.625Co24.625Ni24.625Cu0.5	44.91745	0.83283	8.21625	0.18932	1.81795	0.05459	0.01644	0.0016	0.10418	0.01214	5.3854	-4.20379	1.02E+23	1.16E+23	2.60E+22	1.13E+23	FCC+BCC	5
70	Ca65Mg15Zn20	Mg15.0Ca65.0Zn20.0	0.40722	0.69601	4	1	1.1765	0.22126	0.13453	0.01441	0.16807	0.00737	0.51775	-14.26	3.03E+23	5.91E+23	0	5.91E+23	AM	4
71	AlCoCrFe1.5Mo0.5Ni	Al24.5Cr24.5Fe1.5Co24.5Ni24.5Mo0.5	3.27011	0.85474	7.01	0.38727	1.76795	0.07549	0.06108	0.01343	0.2743	0.0122	1.33395	-15.1906	2.52E+23	3.41E+23	0	3.41E+23	BCC+IM	8
73	CrMnNbTiV	Ti20.0V20.0Cr20.0Mn20.0Nb20.0	4.20032	0.8444	5.4	0.18885	1.596	0.02874	0.05644	0.01155	0.18887	0.01338	6.31548	-4.48	8.27E+22	9.59E+22	1.94E+22	9.39E+22	IM	3
74	Cr6Fe18Mo5	Cr6.0Fe18.0Mo5.0	0.00299	0.86121	2.1	1.34172	0.537	1.32767	1.32015	0.05657	1.36671	0.00521	27.20687	-0.1152	2.42E+22	2.60E+22	0	2.60E+22	IM	3
75	Cu58.7Zr36.3Al3.5	Al3.5Cu58.7Zr36.3	0.52432	0.78067	8.014	0.43158	1.65444	0.16406	0.11245	0.01064	0.2426	0.00663	0.48456	-21.92171	1.78E+23	5.30E+23	0	5.30E+23	AM	4
76	Cu58.1Zr35.9Al6	Al6.0Cu58.1Zr35.9	0.59416	0.78189	8.007	0.44108	1.67797	0.16034	0.10916	0.00839	0.24921	0.00708	0.49268	-23.11975	2.32E+23	5.55E+23	0	5.55E+23	AM	4
77	Fe36Ni18Mn33Al13Ti2	Al13.0Ti2.0Mn33.0Fe36.0Ni18.0	3.34787	0.83674	7.46	0.27345	1.7542	0.08798	0.05866	0.01203	0.17651	0.01152	1.65389	-11.3148	2.44E+23	3.02E+23	0	3.02E+23	IM	3
78	Ta10Nb30Ti30Zr30	Ti30.0Zr30.0Nb30.0Ta10.0	4.38201	0.8829	4.4	0.11134	1.491	0.07368	0.04992	0.00941	0.18866	0.01092	9.82262	2.64	3.23E+22	4.42E+22	4.42E+22	0	BCC	0
80	Al0.2MoTaTiV	Al0.2Ti24.95V24.95Mo24.95Ta24.95	6.96682	0.89301	4.996	0.14252	1.70731	0.15535	0.04084	0.0069	0.2118	0.01162	10.39081	-2.87873	4.59E+22	5.41E+22	7.02E+21	5.36E+22	BCC	0
81	AlCoCr2FeNi	Al24.5Cr2.0Fe24.5Co24.5Ni24.5	3.14023	0.85462	7.47	0.35794	1.80455	0.0655	0.0621	0.01368	0.2351	0.01211	1.39645	-13.6367	2.79E+23	3.54E+23	0	3.54E+23	IM	3
82	AlCoCrFeNiTi0.4	Al19.919999999999998Ti0.4Cr19.919999999999998Fe19.919999999999998Co19.919999999999998Ni19.919999999999998	3.97138	0.83454	7.1872	0.34578	1.77705	0.06824	0.05839	0.01407	0.24215	0.01354	1.81161	-12.59454	2.43E+23	2.97E+23	0	2.97E+23	IM	3
83	Mo1.5NbTiV0.3Zr	Ti32.733333333333334V0.3Zr32.733333333333334Nb32.733333333333334Mo1.5	3.67549	0.81059	4.36033	0.11705	1.50047	0.09388	0.05161	0.00853	0.15381	0.00979	10.01956	2.22979	4.25E+22	5.11E+22	4.65E+22	2.14E+22	BCC	0
84	AlCoCrFeMo0.5	Al24.875Cr24.875Fe24.875Co24.875Mo0.5	3.04267	0.85471	6.4975	0.3518	1.74707	0.06655	0.06209	0.01343	0.27576	0.01173	1.72103	-11.44499	1.98E+23	2.63E+23	0	2.63E+23	BCC+IM	8
85	AlCrMnNbTi	Al20.0Ti20.0Cr20.0Mn20.0Nb20.0	4.30339	0.84539	5	0.28284	1.592	0.02735	0.05576	0.01174	0.32848	0.01338	1.57509	-15.84	2.74E+23	3.36E+23	2.20E+22	3.35E+23	IM	3
86	TiCr0.5FeNiCuAl	Al19.9Ti19.9Cr0.5Fe19.9Ni19.9Cu19.9	2.63789	0.83672	7.194	0.44212	1.75751	0.08723	0.07175	0.01398	0.23612	0.01358	1.21017	-17.47618	4.66E+23	5.32E+23	1.27E+23	5.16E+23	BCC+FCC	5
87	AlBe4Mn	Be4.0Al48.0Mn48.0	3.09357	0.78007	4.88	0.41924	1.5796	0.01865	0.04733	0.00512	0.23738	0.00693	0.46996	-18.2784	1.64E+23	5.39E+23	0	5.39E+23	IM	3
88	ZrHfTiCuFe	Ti20.0Fe20.0Cu20.0Zr20.0Hf20.0	1.22478	0.75969	6.2	0.46074	1.58	0.15693	0.10452	0.01981	0.19349	0.01338	1.64611	-15.84	3.15E+23	3.66E+23	9.66E+22	3.53E+23	IM	3
89	Al0.4Co6Cr7.5Cu2Mn8.1Ni32.2Sn0.3Ti12V10Zr21.5	Al0.4Ti12.0V10.0Cr7.5Mn8.1Co6.0Ni32.2Cu2.0Zr21.5Sn0.3	1.42894	0.75032	6.861	0.38616	1.66194	0.13544	0.10415	0.02174	0.13274	0.0155	0.98085	-29.86994	5.22E+23	6.30E+23	2.68E+22	6.30E+23	IM	3
90	AlCoCuFeNbNi	Al16.666666666666668Fe16.666666666666668Co16.666666666666668Ni16.666666666666668Cu16.666666666666668Nb16.666666666666668	3.62409	0.85551	7.66667	0.36635	1.78833	0.07386	0.06412	0.01496	0.31945	0.0149	1.94355	-13.22222	3.69E+23	4.03E+23	1.06E+23	3.88E+23	IM	3
91	Al0.3CuCrFeNi2	Al0.3Cr32.56666666666667Fe32.56666666666667Ni2.0Cu32.56666666666667	44.39893	0.85311	8.35067	0.24733	1.79837	0.05638	0.01494	0.00221	0.18865	0.00991	1.77033	9.96012	1.74E+23	2.37E+23	2.35E+23	3.40E+22	FCC	1
92	AlCrFeNiMo0.5	Al24.875Cr24.875Fe24.875Ni24.875Mo0.5	2.98566	0.85465	6.74625	0.38245	1.75454	0.07135	0.06268	0.01357	0.27646	0.01173	1.48478	-13.18748	2.19E+23	2.98E+23	0	2.98E+23	BCC	0
93	Al0.8CoCrCuFe	Al0.8Cr24.8Fe24.8Co24.8Cu24.8	41.48323	0.85311	8.456	0.2201	1.81584	0.05279	0.01688	0.00285	0.16911	0.01182	3.59658	5.82502	1.81E+23	1.99E+23	1.89E+23	6.15E+22	FCC+BCC	5
94	CoCrFeMnNiV1.0	V1.0Cr19.8Mn19.8Fe19.8Co19.8Ni19.8	12.70477	0.9118	7.97	0.18048	1.76464	0.07839	0.03285	0.0079	0.12	0.01371	5.6117	-4.40986	9.55E+22	1.10E+23	1.59E+22	1.09E+23	FCC+IM	9
97	Al0.3CrFe1.5MnNi0.5	Al0.3Cr48.85Mn48.85Fe1.5Ni0.5	4.33344	0.85493	6.5295	0.0938	1.60991	0.04004	0.03935	0.00072	0.17915	0.00671	7.94187	1.5593	4.55E+22	5.45E+22	3.83E+22	3.87E+22	FCC+BCC	5
98	Al13Fe36Mn33Ni18Ti6	Al13.0Ti6.0Mn33.0Fe36.0Ni18.0	1.83643	0.83936	7.62	0.2863	1.8158	0.10311	0.08174	0.02306	0.18174	0.01227	1.45552	-14.3484	2.92E+23	3.41E+23	0	3.41E+23	FCC+IM	9
99	Ti20Zr15Hf15Ni20Co15Cu15	Ti20.0Co15.0Ni20.0Cu15.0Zr15.0Hf15.0	1.31649	0.76138	7	0.43566	1.6515	0.15671	0.1061	0.02239	0.17934	0.01482	0.92577	-30.38	5.48E+23	6.44E+23	4.33E+22	6.43E+23	IM	3
100	CoCr1.3FeMnNi0.7	Cr1.3Mn32.666666666666664Fe32.666666666666664Co32.666666666666664Ni0.7	6.68308	0.91212	7.988	0.10719	1.75322	0.08256	0.03843	0.0063	0.08124	0.00987	6.22167	-2.70604	5.78E+22	7.38E+22	5.53E+21	7.36E+22	FCC	1
101	Ti2ZrHf0.5V	Ti2.0V48.75Zr48.75Hf0.5	0.70795	0.8089	4.4875	0.11139	1.4803	0.10059	0.09721	0.00131	0.02211	0.00669	3.69316	-3.9	1.62E+22	6.60E+22	0	6.60E+22	BCC	0
102	NbTaTi30Zr	Ti30.0Zr23.333333333333332Nb23.333333333333332Ta23.333333333333332	5.21234	0.88255	4.46667	0.11169	1.49567	0.0653	0.04691	0.01025	0.21497	0.01147	12.0702	2.36444	2.92E+22	3.81E+22	3.81E+22	0	BCC	0
104	AlCoCrFeNi2.2	Al24.45Cr24.45Fe24.45Co24.45Ni2.2	3.18745	0.85465	6.577	0.35326	1.74863	0.06528	0.06174	0.01363	0.26944	0.01215	1.74369	-11.66656	2.05E+23	2.69E+23	0	2.69E+23	FCC+IM	9
105	Ti0.5CoCrFeNiCu0.25Al	Al19.85Ti0.5Cr19.85Fe19.85Co19.85Ni19.85Cu0.25	4.00714	0.83455	7.1935	0.34617	1.77712	0.06833	0.05845	0.01411	0.24205	0.01369	1.84001	-12.53334	2.46E+23	2.99E+23	1.83E+22	2.98E+23	BCC	0
106	Al13Fe36Mn33Ni18	Al13.0Mn33.0Fe36.0Ni18.0	3.75827	0.85508	7.38	0.26813	1.7234	0.08597	0.05378	0.00861	0.17693	0.01087	1.75909	-9.798	2.18E+23	2.76E+23	0	2.76E+23	FCC+IM	9
108	Al7Cu3Mg6	Mg6.0Al7.0Cu3.0	0.00086	0.67771	0.66	2.91386	0.2483	2.12832	2.10964	0.04221	2.14065	0.00383	9.72266	-0.0636	8.16E+22	8.40E+22	0	8.40E+22	IM	3
109	Ni60Nb20Hf5Ti15	Ti15.0Ni60.0Nb20.0Hf5.0	1.31952	0.77114	7.8	0.34781	1.762	0.10836	0.08185	0.00878	0.20594	0.00884	0.55969	-31.64	2.77E+23	5.96E+23	1.91E+22	5.95E+23	AM	4
110	AlNbTiV	Al25.0Ti25.0V25.0Nb25.0	7.40108	0.89352	4.25	0.1951	1.595	0.02103	0.03947	0.00831	0.33672	0.01153	1.38491	-16.25	2.88E+23	3.58E+23	1.86E+22	3.57E+23	BCC	0
111	CrTaTi0.2VW	Ti0.2V24.95Cr24.95Ta24.95W24.95	4.70239	0.84351	5.497	0.09168	1.78701	0.18792	0.04971	0.00859	0.23684	0.01162	7.73185	-4.26096	5.31E+22	6.55E+22	6.40E+21	6.52E+22	BCC+IM	8
113	Al0.5CoCrCuFe	Al0.5Cr24.875Fe24.875Co24.875Cu24.875	51.78751	0.85309	8.4725	0.21713	1.81646	0.05248	0.01505	0.00266	0.1671	0.01173	3.47953	5.98368	1.78E+23	1.98E+23	1.90E+23	5.53E+22	FCC	1
114	AlCoCuFeNiTi	Al16.666666666666668Ti16.666666666666668Fe16.666666666666668Co16.666666666666668Ni16.666666666666668Cu16.666666666666668	3.04082	0.83612	7.5	0.39814	1.77833	0.08286	0.07	0.01629	0.21603	0.0149	1.40264	-16.88889	4.57E+23	5.08E+23	1.13E+23	4.95E+23	FCC+BCC	5
115	Al13Cr4Si4	Al13.0Si4.0Cr4.0	0.00145	0.69891	0.79	1.84865	0.3517	1.72997	1.73418	0.04332	1.91986	0.00435	1.4294	-0.84	5.41E+23	5.62E+23	0	5.62E+23	IM	3
